প্রশ্ন,উত্তর
ব্যাংক একাউন্ট খুলতে কত বয়স লাগে? ,১৮ বছরের বেশি হলে ব্যাংক অ্যাকাউন্ট খোলা যায় স্টুডেন্ট ব্যাংক একাউন্ট বাদে 
আমি কিভাবে একটি ব্যাংক হিসাব খুলতে পারি?,"আবেদনকারি ও নমিনির জাতীয় পরিচয় পত্রের ফটোকপি, দুই কপি পাসপোর্ট সাইজের ছবি লাগবে এবং আনেদন ফর্ম পূরণ করতে হবে।"
আমি কিভাবে ইন্টারনেট ব্যাংকিং চালাতে পারি?,"আমাদের অনলাইন ব্যাংকিং পোর্টালে যেতে হবে এবং একটি অ্যাকাউন্ট রেজিস্টার করতে হবে, তারপরে আপনি ইন্টারনেটের মাধ্যমে হিসাবের কার্যক্রম চালাতে পারবেন।"
আমি কিভাবে লোন নিতে পারি?,"লোন নিতে চাইলে, আপনার আর্থিক অবস্থা, ব্যক্তিগত তথ্য, এবং ক্রেডিট হিসাব দেখে এমন তথ্য দিতে হবে।"
আমি কি করতে পারি যদি আমি আমার কার্ড হারিয়ে যায়?,"আপনার কার্ড হারিয়ে গেলে, তা দ্রুত রিপোর্ট করতে হবে এবং আমরা আপনার বর্তমান কার্ড বাতিল করে নতুন একটি প্রদান করতে পারি।"
আমি কিভাবে ব্যাংক কার্ড স্টেটমেন্ট পেতে পারি?,আপনি আমাদের অনলাইন ব্যাংকিং পোর্টালে লগইন করে বা একটি এটিএম বা ব্রাঞ্চ থেকে কার্ড স্টেটমেন্ট পেতে পারবেন।
আমি কিভাবে ব্যাংক অ্যাকাউন্টে মাসিক হিসাব বাড়াতে পারি?,"আপনি মাসিক হিসাব বাড়াতে চাইলে, ব্যাংকে গিয়ে আপনার ইনকাম প্রুফ দিয়ে আবেদন করতে পারেন।"
আমি কিভাবে আমার ক্রেডিট স্কোর চেক করতে পারি?,"আপনি আপনার ক্রেডিট স্কোর চেক করতে চাইলে, ক্রেডিট রিপোর্ট এজেন্সি বা ব্যাংকের কাছে আবেদন করতে পারেন।"
আমি কিভাবে ব্যাংক হিসাব বন্ধ করতে পারি?,"আপনি ব্যাংক হিসাব বন্ধ করতে চাইলে, ব্যাংকে যেতে হবে এবং বন্ধ ফর্ম পূরণ করতে হবে।"
আমি কিভাবে চেক বুক অর্ডার করতে পারি?,"আপনি চেক বুক অর্ডার করতে চাইলে, ব্যাংকে যেতে হবে এবং আপনার হিসাবে নির্দিষ্ট পরিমাণ টাকা জমা করতে হবে।"
আমি কিভাবে ব্যাংক থেকে লোন পরিশোধ করতে পারি?,"আপনি লোন পরিশোধ করতে চাইলে, আপনি ব্যাংকে যেতে এবং আপনার লোন এমাউন্ট জমা করতে হবে।"
আমি কিভাবে ব্যাংক থেকে ই-স্টেটমেন্ট পেতে পারি?,আপনি ব্যাংকে লগইন করে বা ব্যাংক ব্রাঞ্চ থেকে ই-স্টেটমেন্ট পেতে পারেন।
আমি কিভাবে ব্যাংক অ্যাকাউন্টে টাকা পাঠিয়ে দিতে পারি?," আপনি অন্য ব্যাংক অ্যাকাউন্টে টাকা পাঠিয়ে দিতে চাইলে, আপনি ব্যাংকে গিয়ে ট্র্যান্সফার ফর্ম পূরণ করতে পারেন অথবা অনলাইনে ট্র্যান্সফার করতে পারেন।"
আমি কিভাবে ব্যাংক হিসাবে একটি নম্বর পরিবর্তন করতে পারি?,"আপনি যদি আপনার ব্যাংক হিসাবে নম্বর পরিবর্তন করতে চান, তাদের কাছে যেতে হবে এবং আপনার প্রোফাইল আপডেট করতে হবে।"
ব্যাংক কর্মীরা কি ধরনের আর্থিক পরামর্শ দেয়?,"ব্যাংক কর্মীরা ব্যাক্তিদের আর্থিক পরামর্শ দেয়, যেমন মুনাফা বৃদ্ধি রেখে একক এবং ব্যবসায়িক লোন, মুনাফা বৃদ্ধি রেখে নিজেকে আর্থিক প্রস্তুতির দিকে উন্নত করতে সাহায্য করতে।"
ব্যাংকে কি ধরনের স্থায়ী বৈতনিক রোজগার সুযোগ রয়েছে?,"ব্যাংক কর্মী: ব্যাংকে বিভিন্ন ক্ষেত্রে স্থায়ী বৈতনিক রোজগার সুযোগ রয়েছে, যেমন একাউন্টিং, ফাইন্যান্স, ব্যাংকিং অপারেশন, এবং কাস্টমার সার্ভিস।"
আমি কিভাবে ব্যাংক হিসাবে একটি ফিক্সড ডিপোজিট শুরু করতে পারি?,"আপনি যদি ফিক্সড ডিপোজিট শুরু করতে চান, ব্যাংকে গিয়ে করে একটি ফিক্সড ডিপোজিট হিসাব খোলতে হবে এবং এর জন্য আবেদন ফর্ম পূরণ করতে হবে।"
আমি কিভাবে ব্যাংক লোনের হিসাবে মাসিক টার্ম প্রদান করতে পারি?,"আপনি ব্যাংক লোনের মাসিক টার্ম প্রদান করতে চাইলে, প্রথমে ব্যাংক কর্মীর সাথে যোগাযোগ করুন এবং আপনার ইচ্ছিত লোনের জন্য আবেদন করুন। এটি সাধারণভাবে আপনার আবেগ ফর্ম পূরণের মাধ্যমে হয়ে থাকে, যেখানে আপনি আপনার মাসিক টার্ম এবং অন্যান্য প্রয়োজনীয় তথ্য সাবমিট করবেন।"
ব্যাংক কর্মীরা লোনের আবেদন নিতে হলে কি কি দলিল চাইতে পারে?,"লোনের আবেদন প্রস্তুতির জন্য ব্যাংক কর্মীরা সাধারণভাবে আপনার আয়, কর্ম, আবাসন, এবং অন্যান্য আর্থিক তথ্যের দলিল চায়। এছাড়া, তারা আপনার ক্রেডিট হিসাব, লোনের আমাউন্ট এবং লোনের ধরণ নির্ধারণ করতে পারে।"
ব্যাংক কর্মীরা কি কি ধরনের লোন প্রদান করতে পারে?,"ব্যাংক কর্মীরা ব্যাংকে বিভিন্ন ধরনের লোন প্রদান করতে পারে, যেমন ব্যক্তিগত লোন, বাণিজ্যিক লোন, বা বৃদ্ধি রেখে কৃষি লোন।"
লোন প্রদানের জন্য আমি কীভাবে আবেদন করতে পারি?,"লোন প্রদানের জন্য আপনি যদি আবেদন করতে চান, তবে ব্যাংকে যোগাযোগ করে বা অনলাইনে আবেদন ফর্ম পূরণ করে লোনের জন্য আবেদন করতে পারেন।"
আমি কিভাবে ব্যাংক লোনের আবেদন প্রস্তুতি করতে পারি?,"লোনের আবেদন প্রস্তুতি করতে আপনি ব্যাংকে যোগাযোগ করে আপনার একক তথ্য সাবমিট করতে পারেন, যেমন আয়, কর্ম, এবং অন্যান্য আর্থিক তথ্য ইত্যাদি।"
আমি কিভাবে একটি স্টুডেন্ট একাউন্ট খোলতে পারি?,"স্টুডেন্ট একাউন্ট খোলতে আপনি যে ব্যাংকে আপনি একাউন্ট খোলতে চান, সেখানে গিয়ে আবশ্যক কাগজপত্র এবং ছাত্র-ছাত্রী প্রমাণপত্র নিয়ে একাউন্ট খোলতে পারেন।"
স্টুডেন্ট একাউন্টের জন্য কি কি কাগজপত্র প্রয়োজন?,"স্টুডেন্ট একাউন্ট খোলতে গিয়ে আপনাকে ছাত্র-ছাত্রী প্রমাণপত্র, আবাসন প্রমাণপত্র, এবং অন্যান্য আবশ্যক কাগজপত্র দেখাতে হতে পারে।"
স্টুডেন্ট একাউন্টে কি ধরণের সুবিধার জন্য আবেগ করতে পারি?,"স্টুডেন্ট একাউন্টে বিভিন্ন ধরণের সুবিধার জন্য আবেদন করতে পারেন, যেমন মোবাইল ব্যাংকিং, ডেবিট কার্ড, এবং অন্যান্য ছাত্র-ছাত্রীদের জন্য সহায়ক সুবিধা।"
স্টুডেন্ট একাউন্টে কি কি সুবিধা পাব?,"স্টুডেন্ট একাউন্ট খোলার পর আপনি মোবাইল ব্যাংকিং, ডেবিট কার্ড, স্টুডেন্ট লোন, এবং অন্যান্য ছাত্র-ছাত্রীদের জন্য সুবিধার জন্য আবেদন করতে পারেন।"
স্টুডেন্ট একাউন্টে কি ধরণের ডেবিট কার্ড পাব?,"স্টুডেন্ট একাউন্ট খোলার পর আপনি একটি স্টুডেন্ট ডেবিট কার্ড পাবেন, যা দিয়ে আপনি বিভিন্ন লেনদেন করতে পারবেন এবং অনলাইনে বা বিভিন্ন দোকানে ব্যবহার করতে পারবেন।"
স্টুডেন্ট একাউন্ট কি?,"স্টুডেন্ট একাউন্ট হলো একটি ব্যাংক হিসাব, যা ছাত্র-ছাত্রীদের জন্য উপলব্ধ থাকে এবং তাদের শিক্ষার্থী জীবনের সাথে সাথে মিলে। এই ধরনের একাউন্টে সাধারন একাউন্টের কিছু বিশেষ সুবিধা থাকতে পারে।"
একটি অ্যাকাউন্ট খুলতে একটি ন্যূনতম আমানত প্রয়োজন আছে?,বিভিন্ন ধরনের অ্যাকাউন্টের ন্যূনতম আমানতের প্রয়োজনীয়তা পরিবর্তিত হতে পারে।
একটি ব্যাংক অ্যাকাউন্ট খুলতে আমানত প্রয়োজন আছে?,বিভিন্ন ব্যাংকের জন্য বিভিন্ন আমানত প্রয়োজন হতে পারে। কিছু ব্যাংকে পাঁচশত টাকা আর কিছু ব্যাংকে হাজার টাকা বা তার চেয়েও বেশি প্রয়োজন হতে পারে।
অ্যাকাউন্ট রক্ষণাবেক্ষণের জন্য কোনো ফি আছে?,"ব্যাংক অ্যাকাউন্ট রক্ষণাবেক্ষণ ফি অথবা মাসিক সংরক্ষণাবেক্ষণ ফি সংক্রান্ত নির্দিষ্ট নীতি ও শর্তাবলী প্রতিটি ব্যাংকে ভিন্ন হতে পারে। এটি ব্যাংকের ধরণ, প্রকার, এবং সেবা সমূহের উপর ভিত্তি করে।"
সেভিংস অ্যাকাউন্ট বা সঞ্চয়ী হিসাব কী?,"সঞ্চয়ী হিসাব বলতে কোনও ব্যাংক বা আর্থিক প্রতিষ্ঠানে গচ্ছিত একটি সুদ-প্রদানকারী জমা হিসাব বোঝায়, যা থেকে স্বল্প হারের সুদ আয় করা যায়। প্রতি মাসে সঞ্চয়ী হিসাবে কতবার অর্থ উত্তোলন করা যাবে, তার সংখ্যা ব্যাংক বা আর্থিক প্রতিষ্ঠান সীমিত করতে পারে।"
মানি মার্কেট অ্যাকাউন্ট কি?,এই অ্যাকাউন্টটি সেভিং এবং চেক অ্যাকাউন্ট উভয়ের সুবিধা দেয়।
সিডি অ্যাকাউন্ট কি?,"এই ধরনের অ্যাকাউন্টে আপনাকে আপনার টাকা জমা দিতে হবে নির্দিষ্ট সময়কাল পর্যন্ত , এবং আপনি এতে সুদ পাবেন।"
এটিএম ব্যাংকিং কি?,"এটি একটি ইলেকট্রনিক ব্যাংকিং আউটলেট, যা গ্রাহকদের মৌলিক লেনদেন সম্পূর্ণ করতে  অনুমতি দেয়।"
লোন ম্যানেজমেন্ট সিস্টেম কি?,লোন ম্যানেজমেন্ট সিস্টেম হল একটি ডিজিটাল প্ল্যাটফর্ম যা ঋণদাতাদের তাদের ঋণ প্রক্রিয়া সহজ ও স্বয়ংক্রিয় করতে সাহায্য করে । 
ক্রেডিট ম্যানেজমেন্ট সিস্টেম কি?,ক্রেডিট ম্যানেজমেন্ট হল কোন গ্রাহকদের ক্রেডিট প্রসারিত করতে হবে তা সিদ্ধান্ত নেওয়ার প্রক্রিয়া এবং সময়ের সাথে সাথে সেই গ্রাহকদের ঋণযোগ্যতা মূল্যায়ন করা ।
ক্রেডিট ম্যানেজমেন্ট প্ল্যান কেন প্রয়োজন?,"একটি ক্রেডিট ম্যানেজমেন্ট প্ল্যান থাকা আপনার ব্যবসার নগদ প্রবাহ রক্ষা করতে সাহায্য করে, কর্মক্ষমতা অপ্টিমাইজ করে এবং একটি ডিফল্ট আপনার ব্যবসার উপর বিরূপ প্রভাব ফেলবে এমন সম্ভাবনা কমায় ৷"
ঋণ খরচ কি?,"যখন কোন কোম্পানি তহবিল ধার করে, কোন আর্থিক প্রতিষ্ঠান (ব্যাংক) বা অন্যান্য সংস্থান থেকে সেই পরিমাণের উপর প্রদত্ত সুদ 'ঋণের খরচ' হিসাবে পরিচিত।"
ঋণ থেকে আয় অনুপাত কি?,ঋণ থেকে আয়ের অনুপাত একটি ঋণ আবেদনকারীর মোট ঋণ পরিশোধকে তার দ্বারা ভাগ করে গণনা করা হয় 
লোন গ্রেডিং কি?,"ঋণের শ্রেণীবিভাগ বিভিন্ন ঝুঁকি এবং পরামিতির উপর ভিত্তি করে যেমন ঋণ পরিশোধের ঝুঁকি, ঋণগ্রহীতার ক্রেডিট ইতিহাস ইত্যাদি"
ক্রেডিট-নেটিং কী?,"কোন প্রতিষ্ঠান বা ব্যক্তির সঙ্গে আর্থিক সক্ষমতা বা ঋণ দেয়া হলে সেটা ঠিক সময়ে পরিশোধ করার ক্ষমতা কতটা আছে, সেটাই ক্রেডিট রেটিংয়ের মাধ্যমে নির্ধারণ করা হয়।"
ক্রেডিট চেক বলতে কি বুঝায়?,"ঋণদাতা, ব্যাঙ্ক বা পরিষেবা প্রদানকারী যখন আপনার আর্থিক ইতিহাস পরীক্ষা করার প্রয়োজন হয় তখন ক্রেডিট চেক করা হয়। "
আন্তঃব্যাংক আমানত?,যে কোনো আমানত যা এক ব্যাংকের অন্য ব্যাংকের জন্য রাখা হয় তাকে আন্তঃব্যাংক আমানত বলে
হোম ইকুইটি ঋণ কি?,"যখন আপনার বাড়িতে এখনও একটি বন্ধকী দ্বারা অর্থায়ন করা হয়, হোম ইকুইটি ঋণ আপনাকে আপনার সম্পত্তির মূল্যের বিপরীতে অর্থ ধার করতে দেয়। "
ফিক্সড ডিপোজিট ?,স্থায়ী আমানত বা ফিক্সড ডিপোজিট (সংক্ষেপিত এফডি) হচ্ছে ব্যাংক বা ব্যাংক বহির্ভূত আর্থিক প্রতিষ্ঠান প্রদত্ত একটি আর্থিক উপকরণ যা একটা নির্দিষ্ট সময়ের জন্য রাখা হয় এবং এতে বিনিয়োগকারীদের নিয়মিত সঞ্চয়ী হিসাবের চেয়ে বেশি হারে সুদ প্রদান করা হয়।
কোন ফিক্সড ডিপোজিট সবচেয়ে ভালো?,"কর্পোরেট ফিক্সড ডিপোজিট স্কিমগুলি আপনার বিনিয়োগে উচ্চতর রিটার্ন অফার করে, তবে সঠিক কোম্পানি নির্বাচন করা অপরিহার্য।"
ফিক্সড ডিপোজিট কয়টি রাখা যায়?,আপনি একই ব্যাঙ্কে দুই বা ততোধিক এফডিও রাখতে পারেন কারণ আপনার ফিক্সড ডিপোজিট অ্যাকাউন্টের সংখ্যার কোনও সীমা নেই ৷ 
ক্রমবর্ধমান মেয়াদি আমানত কি?,ক্রমবর্ধমান স্থায়ী আমানত মানে একটি স্থায়ী আমানত যেখানে সুদ জমা করা হয় বা মেয়াদপূর্তির মেয়াদ শেষ হওয়া পর্যন্ত সংগ্রহ করা হয় । 
ফিক্সড ডিপোজিটে কিভাবে টাকা রাখব?,সঠিক বিবরণ সহ একটি স্থায়ী আমানতের জন্য আবেদনটি পূরণ করুন। একজন যে পরিমাণ বিনিয়োগ করতে চান তা লিখুন এবং মেয়াদ উল্লেখ করুন। প্রয়োজনীয় কাগজপত্র সহ ব্যাঙ্কে যথাযথভাবে পূরণ করা আবেদনপত্র জমা দিন। একজন যে পরিমাণ অর্থ FD তে বিনিয়োগ করতে চান তার জন্য নগদ/চেক প্রদান করুন।
ঋণের সুদের হার কি?,"সুদের হার হল সেই খরচ যা আপনি প্রতি বছর টাকা ধার করার জন্য দিতে হবে, শতাংশ হার হিসাবে প্রকাশ করা হয় ।"
প্রতি মাসে কি এফডিতে বিনিয়োগ করা যায়?,"এফডি মাসিক আয় স্কিমে সর্বনিম্ন 1,000 টাকা থেকে সর্বোচ্চ পর্যন্ত যে কোনও পরিমাণ জমা করা যেতে পারে ।"
কার্ড ভিত্তিক পেমেন্ট কি?,কার্ড ভিত্তিক অর্থপ্রদান মানে ক্রেডিট কার্ড বা ডেবিট কার্ড ব্যবহারকারীর দ্বারা প্রদত্ত একটি আর্থিক বাধ্যবাধকতা ।
পেমেন্ট করতে কোন কার্ড ব্যবহার করা হয়?,"অনেক ধরনের পেমেন্ট কার্ড রয়েছে, যার মধ্যে সবচেয়ে সাধারণ হল ক্রেডিট কার্ড, ডেবিট কার্ড, চার্জ কার্ড এবং প্রিপেইড কার্ড । "
টাকা পে কার্ড কি?,টাকা-পে কার্ড হল এক ধরনের ডেবিট কার্ড। এটি বাংলাদেশের অভ্যন্তরে বিভিন্ন ব্যাংক ইস্যু করতে পারবে। নিয়ন্ত্রণ থাকবে বাংলাদেশ ব্যাংকের হাতে। 
ডেবিট নাকি ক্রেডিট ভালো?,ক্রেডিট কার্ডগুলি প্রায়ই ভাল জালিয়াতি সুরক্ষা প্রদান করে
ব্যাংকিং কার্ড কত প্রকার?,"আপনার প্রয়োজনের উপর নির্ভর করে, আপনি ডেবিট কার্ড, ক্রেডিট কার্ড, উপহার কার্ড বা প্রিপেইড কার্ড বেছে নিতে পারেন যা আপনার জন্য উপযুক্ত।"
অনন্য এসএমই ঋণ কী?,"অনন্য এসএমই ঋণ হচ্ছে একটি জামানতবিহীন মাসিক কিস্তি ভিত্তিক ঋণ সুবিধা যা ব্যবসা, উৎপাদন, পরিষেবা, কৃষি, কৃষিভিত্তিক শিল্প এবং সমগ্র বাংলাদেশে ছড়িয়ে থাকা অন্যান্য গ্রহণযোগ্য খাতে জড়িত সিএমএসএমইদের জন্য দেওয়া হয়।"
দ্রুতি ঋণ কী?,"দ্রুতি হল যা সিএমএস আকারের বানিজ্য, উত্পাদন, সেবা, কৃষি, গ্রামে খামার , কৃষি-ভিত্তিক শিল্প এবং অন্যান্য অনেক গ্রহণযোগ্য খাতে জড়িত সিএমএস এন্টারপ্রাইজগুলোর জন্য একটি জামানতবিহীন ঋণ সুবিধা।"
প্রাপ্তি কারেন্ট অ্যাকাউন্ট কী?,প্রাপ্তি এসএমই ব্যবসার মালিকদের জন্য একটি মুনাফা প্রদান করা কারেন্ট অ্যাকাউন্ট। এই ব্যবসায়িক অ্যাকাউন্ট দৈনিক ব্যালেন্সের উপর মুনাফা প্রদান করে এবং ব্র্যাক ব্যাংকের বিস্তৃত ডিস্ট্রিবিউশন নেটওয়ার্কের মাধ্যমে সহজে লেনদেন করার সুযোগ করে দেয়।
অপূর্ব এসএমই ঋণ কী?,কোনো উদীয়মান উদ্যোক্তা যদি তার ব্যবসার প্রয়োজন মেটানোর জন্য বড় অঙ্কের ঋণের সন্ধান করেন এবং যদি তার উপযুক্ত নিরাপত্তা জামানত থাকে তবে তার জন্য অপূর্ব ঋণ সুবিধা তার জন্য উপযোগী।
সমৃদ্ধি এসএমই ঋণ কী?,"সমৃদ্ধি একটি বিশেষ ঋণ সুবিধা যা আমদানি-রপ্তানি সংক্রান্ত ব্যয়, আমদানি পরবর্তী ব্যয়, কর / শুল্ক পরিশোধ, স্থানীয় বিল ক্রয়, চলতি মূলধন এবং ফিক্সড এ্যাসেট অর্থায়নের জন্যে প্রদান করা হয়ে থাকে।"
তারা উদ্যোক্তা এসএমই ঋণ কী?,"উচ্চাকাঙ্ক্ষী মহিলা উদ্যোক্তাদের জন্য একটি ৩৬০ ডিগ্রি ব্যাংকিং সেবা তারায় ব্যবসা সম্প্রসারণ, স্থায়ী সম্পদ ক্রয়, চলতি মূলধন, বাণিজ্যিক যানবাহন ক্রয়, আমদানি ও রপ্তানি অর্থায়নসহ বিভিন্ন খাতে নারীদের জীবনধারার প্রয়োজনীয়তা পূরণ করার জন্য বিভিন্ন ধরনের ঋণ দেওয়া হয়।"
স্বাধীন কারেন্ট অ্যাকাউন্ট কী?,"স্বাধীন কারেন্ট অ্যাকাউন্ট হল কারও ব্যবসা প্রতিষ্ঠানের জন্য একটি ""কম ফি, ইন্টারেস্ট বিহীন"" অ্যাকাউন্ট। শর্তানুযায়ী একটি ন্যূনতম মাসিক গড় ব্যালেন্স বজায় রাখলে এই অ্যাকাউন্টের সকল ব্যাংকিং সংক্রান্ত চার্জ মওকুফ করা হয়।"
স্বাধীন কারেন্ট অ্যাকাউন্ট খোলার যোগ্যতা?,"যে কোনো ধরনের বাংলাদেশি প্রতিষ্ঠান (যেমন একক মালিকানাধীন ব্যবসা, অংশীদারি ব্যবসা, প্রাইভেট লিমিটেড কোম্পানি, শিক্ষা প্রতিষ্ঠান, এনজিও / প্রকল্প, সমবায় সমিতি এবং অন্যান্য)"
নির্মাণ এসএমই ঋণ কী?,"ভাড়া দেওয়ার উদ্দেশ্যে বাণিজ্যিক সম্পত্তি নির্মাণ, সংস্কার, সম্প্রসারণ ও ক্রয়ের জন্য ঋণ সুবিধা হচ্ছে নির্মাণ এসএমই ঋণ।"
বাহন এসএমই ঋণ কী?,বাহন হচ্ছে বানিজ্যিক ব্যবহারের জন্য নতুন বা রিকন্ডিশন যানবাহন কিনতে ছোট এবং মাঝারি ব্যবসাকে দেওয়া ঋণ। এই ঋণের অর্থ দিয়ে ব্যবসার কাজে ব্যবহারের জন্য যাত্রীবাহী এবং অযাত্রীবাহী যানবাহন ক্রয় করা যাবে।
সাপ্লাই চেইন ফাইন্যান্স?,সাপ্লাই চেইন ফাইন্যান্স (এসসিএফ) সরবরাহকারী এবং ডিস্ট্রিবিউটর উভয়ের জন্য সাপ্লাই চেইন প্রক্রিয়ায় আটকে থাকা ক্যাশ ছাড় করতে সাহায্য করে।
প্রথম কারেন্ট অ্যাকাউন্ট কী?,প্রথম অ্যাকাউন্ট একটি মুনাফা প্রদানকারী কারেন্ট একাউন্ট যা যে কোনো ট্রেড লাইসেন্সবিহীন পুরুষ এসএমই ব্যবসায়ী তার ব্যাবসায়িক লেনদেনের জন্য খুলতে পারবেন ।
প্রথম কারেন্ট অ্যাকাউন্ট খোলার যোগ্যতা?,যে কোন বাংলাদেশী পুরুষ এসএমই ব্যবসার মালিক
সঞ্চয় এসএমই ডিপোজিট কী?,সঞ্চয় হল এসএমই গ্রাহকদের জন্য একটি মাসিক ডিপোজিট স্কিম। এটি একটি সংস্থাকে প্রয়োজন অনুসারে মাসিক ভিত্তিতে সঞ্চয় করার এবং মেয়াদপূর্তির পর একটি আকর্ষণীয় মুনাফা পাওয়ার সুযোগ দেয়।
সঞ্চয় এসএমই ডিপোজিট অ্যাকাউন্ট খোলার যোগ্যতা ?,"যে কোনো ধরনের বাংলাদেশী ব্যবসা প্রতিষ্ঠান (যেমন একক মালিকানাধীন ব্যবসা, অংশীদারি ব্যবসা, প্রাইভেট লিমিটেড কোম্পানি, শিক্ষা প্রতিষ্ঠান, এনজিও / প্রকল্প, সমবায় সমিতি এবং অন্যান্য)"
প্রাচুর্য ফিক্সড ডিপোজিট কী?,"“প্রাচুর্য” ক্ষুদ্র এবং মাঝারি ব্যবসার জন্যে একটি আকর্ষণীয় ফিক্সড ডিপোজিট। সর্বনিম্ন ১,০০,০০০ টাকা দিয়ে যে কোনো ব্যবসা প্রতিষ্ঠান বৈধ ট্রেড লাইসেন্স সার্টিফিকেট দিয়ে এই অ্যাকাউন্ট খুলতে পারবে।"
প্রাচুর্য ফিক্সড ডিপোজিট কী অ্যাকাউন্ট খোলার যোগ্যতা?,"যে কোনো ধরনের বাংলাদেশী ব্যবসা প্রতিষ্ঠান (যেমন একক মালিকানাধীন ব্যবসা, অংশীদারি ব্যবসা, প্রাইভেট লিমিটেড কোম্পানি, শিক্ষা প্রতিষ্ঠান, এনজিও / প্রকল্প, সমবায় সমিতি এবং অন্যন্য)"
তারা উদ্যোক্তা কারেন্ট অ্যাকাউন্ট খোলার যোগ্যতা?,"একক মালিকানাধীন ব্যবসা, অংশীদারি ব্যবসা, প্রাইভেট লিমিটেড কোম্পানি, শিক্ষা প্রতিষ্ঠান, এনজিও / প্রজেক্ট, সমবায় সমিতি ব্যবসা বা প্রতিষ্ঠানের কমপক্ষে ৫১% মালিকানা মহিলাদের থাকতে হবে।"
তারা সঞ্চয় মাসিক ডিপোজিট কী?,"ব্র্যাক ব্যাংক নারী উদ্যোক্তাদের জন্য ""তারা সঞ্চয় - মাসিক ডিপোজিট স্কিম"" চালু করেছে।"
